Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4037,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4026,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4035,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4069,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,2000,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,6082,Amaral-Lavenex_-2007-37-THB-Fig38B.pdf,figure,611772,,,,
Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,1002,Amaral-1978-851-JCompNeur-Fig21.pdf,figure,611018,,,,
Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,1002,Amaral-1978-851-JCompNeur-Fig22.pdf,figure,611019,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig5.pdf,figure,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1033,Amaral-Lavenex-2007-3-ProgBrainRes-Fig6.pdf,figure,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1033,Amaral-Lavenex-2007-3-ProgBrainRes-Fig7.pdf,figure,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig8.pdf,figure,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig9.pdf,figure,,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1013,Amaral-Lavenex-2007-3-ProgBrainRes-Fig10.pdf,figure,,,,,
"Armstrong C, Szabadics J, Tamös G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig1A.pdf,figure,612053,,,,
"Armstrong C, Szabadics J, Tamös G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig2B.pdf,figure,612054,,,,
"Armstrong C, Szabadics J, Tamös G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1007,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig2C.pdf,figure,612054,,,no figures were used in the collated pdf,
"Armstrong C, Szabadics J, Tamös G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig6D.pdf,figure,612055,,,,
"Armstrong C, Szabadics J, Tamös G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,1008,Armstrong-Soltesz-2011-1476-JCompNeurol-Fig6E.pdf,figure,612055,,,,
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1033,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig1A.pdf,figure,3400,,,,
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1004,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig2A.pdf,figure,3415,,,,
"Bartos M, Vida I, Frotscher M, Geiger JRP, Jonas P. ",Rapid signaling at inhibitory synapses in a dentate gyrus interneuron network.,Journal of Neuroscience,2001,11306622,1033,Bartos-Jonas-2001-2687-JNeurosci-Fig3.pdf,figure,612058,,,,
"Beed P, Bendels MH, Wiegand HF, Leibold C, Johenning FW, Schmitz D.","Analysis of Excitatory Microcircuitryin the Medial Entorhinal Cortex RevealsCell-Type-Specific Differences",Neuron.,2010,21172609,6003,Beed-Schmitz-2010-1059-Neuron-Fig1B-C.pdf,figure,612059,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2004,Bernard-Wheal-1994-497-Hippocampus-AppA2.pdf,table,611034,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2000,Bernard-Wheal-1994-497-Hippocampus-AppA2.pdf,table,611034,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2004,Bernard-Wheal-1994-497-Hippocampus-AppA3.pdf,table,611035,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,2000,Bernard-Wheal-1994-497-Hippocampus-AppA3.pdf,table,611035,,,,
"Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,4036,Bernard-Wheal-1994-497-Hippocampus-AppA6.pdf,table,611036,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig1.pdf,figure,612006,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2B.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2D.pdf,figure,,,,no figures used in the collated pdf,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig3A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig.3B,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig6A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52A.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52B.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52C.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate53A.pdf,figure,612003,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate53B.pdf,figure,612003,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate56A.pdf,figure,612004,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig1B.pdf,figure,611044,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig1C.pdf,figure,611044,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig1D.pdf,figure,611044,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig1E.pdf,figure,611044,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig2A.pdf,figure,611045,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig2B.pdf,figure,611045,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig2C.pdf,figure,611045,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig3A.pdf,figure,611046,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig3B.pdf,figure,611046,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig3C.pdf,figure,611046,,,,
"Blasco-Ibö_ez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219«__3225.",2000,11043552,1000,Blasco-Ibanez-Freund-2000-3219-NeuroReport-Fig3D.pdf,figure,611046,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig2A-B.pdf,figure,611054,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig4A-B.pdf,figure,611055,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig6.pdf,figure,611056,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig7A-B-C.pdf,figure,611057,,,,
"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,1002,Buckmaster-Schwartzkroin-1992-349-Hippocampus-Fig8A-B.pdf,figure,611058,,,,
"Buckmaster PS, Dudek FE. ",In vivo intracellular analysis of granule cell axon reorganization in epileptic rats,Journal of Neurophysiology,1999,10036272,1000,Buckmaster-Dudek-1999-712-JNeurophysiol-Fig3A.pdf,figure,,,,,
"Buckmaster PS, Dudek FE. ",In vivo intracellular analysis of granule cell axon reorganization in epileptic rats,Journal of Neurophysiology,1999,10036272,1000,Buckmaster-Dudek-1999-712-JNeurophysiol-Fig3B.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig1A.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig1B.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig2A-B-C.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig3.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Tab3.pdf,table,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Tab4.pdf,table,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig7A.pdf,figure,,,,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,Journal of Comparative Neurology,1996,8698887,1002,Buckmaster-Schwartzkroin-1996-270-JCompNeuro-Fig7B.pdf,figure,,,,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4037,Buhl-Somogyi-1994-823-Nature-Tab1.pdf,table,612066,,,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4037,Buhl-Somogyi-1994-823-Nature-Fig1.pdf,figure,612068,,,,
"Buhl EH, Halasy K, Somogyi P",Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,Nature,1994,8159242,4026,Buhl-Somogyi-1994-823-Nature-Fig2.pdf,figure,612069,,,,
"Bullis JB, Jones TD, Poolos NP",Reversed somatodendritic I(h) gradient in a class of rat hippocampal neurons with pyramidal morphology,Journal of Physiology,2007,17185334,4054,Bullis-Poolos-2007-579-JPhysiol-Fig1.pdf,figure,612075,,,,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex,Hippocampus,2011,22161956,6094,Canto-Witter-2011-1277-Hippocampus_MEC-Fig2A.pdf,figure,611538,,,,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex,Hippocampus,2011,22161956,6003,Canto-Witter-2011-1277-Hippocampus_MEC-Fig7A.pdf,figure,611544,,,,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex,Hippocampus,2011,22161956,6005,Canto-Witter-2011-1277-Hippocampus_MEC-Fig7A.pdf,figure,611544,,,,
"Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex,Hippocampus,2011,22161956,6082,Canto-Witter-2011-1277-Hippocampus_MEC-Fig7A.pdf,figure,611544,,,,
